canonical_hobby,merged_group
Reading Multicultural Children’s Literature,"Reading Multicultural Children’s Literature, reading multicultural literature"
Stacking and building soft blocks,"Stacking and building soft blocks, building soft blocks, stacking soft blocks, Soft block stacking, Building with soft blocks, Stacking soft blocks, Soft stacking blocks"
"Volunteer work (food drives, community fairs)","Volunteer work (food drives, community fairs), Volunteer work at community fairs"
helping mix ingredients during family cooking,helping mix ingredients during family cooking
Attending Steelers games,Attending Steelers games
Volunteer work at animal shelter,"Volunteer work at animal shelter, Volunteering at animal rescue, Animal rescue volunteering"
Cooking Nicaraguan dishes,"Cooking Nicaraguan dishes, Cooking traditional Nicaraguan dishes, Cooking Traditional Nicaraguan Dishes, cooking traditional Nicaraguan dishes, Cooking Nicaraguan cuisine"
"Playing strategic board games (Catan, Terraforming Mars)","Playing strategic board games (Catan, Terraforming Mars), Strategy board games (Catan, Terraforming Mars), Strategy board gaming (e.g., Terraforming Mars), Strategy board games (Chess, Terraforming Mars), Competitive board games (e.g., Settlers of Catan, Terraforming Mars), Strategy board games (Terraforming Mars, Settlers of Catan)"
Supporting local high school sports,"Supporting local high school sports, Supporting high school football"
"Creative writing (poetry, memoir)","Creative writing (poetry, memoir), Creative writing (speculative fiction, poetry), Poetry and creative writing, creative writing and poetry, Creative writing (poetry and journaling), Creative writing (short stories and poetry), Creative writing (short stories, poetry), Creative writing/poetry, Creative writing (poetry, essays), Creative writing (short stories, poems), Creative writing and poetry, Creative writing (poetry, short stories)"
Travel to heritage sites,Travel to heritage sites
Attending small‑group art workshops,"Attending small‑group art workshops, Community Art Workshops, Community art workshops, Participating in small‑group art workshops, Small‑group art workshops, Organizing Art Workshops, Attending small digital art workshops"
Playing traditional drums,Playing traditional drums
Attending live comedy shows,"Attending live comedy shows, Attending live theater and improv comedy"
Truck engine tinkering,Truck engine tinkering
Road trips to historic sites,"Road trips to historic sites, Road Trips to State Parks & Historic Sites, Road trips to historical landmarks, Traveling to historical sites, Road trips to nearby historic towns, Traveling to Historical Sites, Road Trips to Historic Sites, Weekend road trips to historic towns, Short road trips to historic towns"
group fishing trips,"group fishing trips, Community fishing trips"
Mural painting and community art projects,"Mural painting and community art projects, Painting community murals, Community Mural Projects, Volunteering for community mural projects, community mural projects, Community mural projects, Collaborating on community mural projects, volunteering (community mural projects)"
Reading contemporary Colombian literature,"Reading contemporary Colombian literature, Reading biographies of Colombian historical figures"
Collecting Vintage Jazz & Soul Vinyl,Collecting Vintage Jazz & Soul Vinyl
Hiking Oconee State Park,Hiking Oconee State Park
Barbecue and Food Exploration,"Barbecue and Food Exploration, Cooking and food exploration"
Crossword and jigsaw puzzles,"Crossword and jigsaw puzzles, Crossword puzzles and jigsaw puzzles, Doing puzzles (crosswords, jigsaw), Jigsaw and crossword puzzles"
Solitary nature walks with journaling and photography,"Solitary nature walks with journaling and photography, Nature walks and photography, nature walks and photography"
Hiking and nature walks along the Oconee River trail,Hiking and nature walks along the Oconee River trail
Cooking wholesome meals,Cooking wholesome meals
"Home-automation tinkering (Raspberry Pi, Arduino)","Home-automation tinkering (Raspberry Pi, Arduino), Arduino and home‑automation tinkering, Home Automation with Raspberry Pi/Arduino"
Church book club participation,"Church book club participation, Book Club Participation, Book‑Club Participation, book‑club participation, Church Book Club, book club participation, Book club participation, Book Club participation"
Local history lectures,"Local history lectures, Attending local history lectures"
Attending tech meetups and community workshops,"Attending tech meetups and community workshops, Attending small community workshops, Attending local tech meetups"
Scale model kit building,"Scale model kit building, Building scale model kits (cars, planes), Scale Model Building, Scale model building (ships and trucks), scale model building, Scale model building and woodworking, Scale model kit assembly, Building scale models, Scale model aircraft building, Scale model house building, Scale model building (ships, architecture), Building scale model aircraft, Scale Model Building (Aircraft, Automobiles), Building scale model kits, Scale model building, Scale model and LEGO building"
Robotics club projects,"Robotics club projects, School robotics club, Participating in school robotics club, Robotics club (future participation), Robotics projects, Robotics club participation, Robotics club (after‑school)"
flea market exploring,flea market exploring
Solo kayaking on the Delaware River,Solo kayaking on the Delaware River
Caring for a houseplant,"Caring for a houseplant, Gardening and caring for houseplants"
Historical society research projects,"Historical society research projects, Local historical society projects"
Gardening native Texas herbs,"Gardening native Texas herbs, Native Texas Gardening, Gardening (native Texas plants), Native Texas gardening"
Occasional pottery or woodworking projects,Occasional pottery or woodworking projects
Hiking in Capitol State Forest,"Hiking in Capitol State Forest, Hiking in State Parks, Hiking in state parks"
Reading aviation history and technical journals,"Reading aviation history and technical journals, Reading science fiction and aviation history"
Fishing in the Gulf,"Fishing in the Gulf, Fishing in the Gulf Coast, Fishing on the Gulf coast, Fishing on the Gulf Coast, Fishing in the Gulf of Mexico, Gulf Coast fishing"
Hiking Texas Hill Country trails,"Hiking Texas Hill Country trails, hiking in Texas Hill Country, Hiking the Texas Hill Country, Hiking in Hill Country trails, Hiking and biking in the Texas Hill Country, hiking in the Texas Hill Country, Hiking in the Texas Hill Country, Hiking in Texas Hill Country"
Reading Real Estate Podcasts,"Reading Real Estate Podcasts, Listening to real‑estate and entrepreneurship podcasts"
Afro‑Caribbean cooking,"Afro‑Caribbean cooking, Cooking soul‑food and exploring Afro‑Caribbean cuisine"
Writing Memoirs,"Writing Memoirs, Writing memoir, Writing memoirs and essays, writing memoirs, Writing personal memoirs, Writing memoirs, Writing memoirs and short stories"
Intramural basketball league,"Intramural basketball league, Participating in intramural basketball, Playing intramural basketball"
Weekend hiking in nearby nature preserves,"Weekend hiking in nearby nature preserves, Hiking in nature preserves, Hiking in nearby nature preserves"
Playing narrative‑driven video games,"Playing narrative‑driven video games, playing narrative video games, playing video games with narrative focus, Story‑driven video games, Story‑driven video gaming, Playing narrative video games, narrative video games"
Nature documentaries,"Nature documentaries, Watching nature documentaries, watching nature documentaries, nature documentaries"
Pick-up basketball,"Pick-up basketball, Playing pick‑up basketball, Pick‑up Basketball, Pick-up Basketball, Pick‑up basketball and soccer, Pick‑up basketball, Playing pick-up basketball, pickup basketball, Basketball (pick‑up games), Basketball pick‑up games, playing pickup basketball, Pickup basketball games, Playing pickup basketball, Pickup basketball, Basketball (pickup games), Playing Pickup Basketball, Pickup Basketball"
Helping cook Southern family meals,"Helping cook Southern family meals, Cooking and sharing traditional Southern meals with friends and family, Cooking with family (Southern cuisine)"
reading illustrated books,"reading illustrated books, reading illustrated fantasy novels, Picture book reading, picture book reading"
Listening to Punta and Latin reggae music,"Listening to Punta and Latin reggae music, Listening to salsa and reggaetón music, Listening to salsa and reggaetón, Listening to Latin jazz and reggaeton, Listening to music (reggaeton, Honduran punta), Listening to reggaeton and Latin jazz, Listening to reggaetón and salsa, Listening to Polynesian reggae music, Listening to salsa and reggaeton music, Listening to reggaeton and Latin music, listening to salsa and reggaeton music, Listening to Latin pop and reggaetón"
Attending library storytime,"Attending library storytime, library storytime attendance, library story time, Attending storytime at the library"
community dance nights,"community dance nights, Community dance events, Attending community dance nights, Community dance nights"
Harmonica playing,"Harmonica playing, Playing the harmonica, Playing harmonica"
Gardening (citrus and native plants),"Gardening (citrus and native plants), Gardening (citrus trees), Gardening citrus trees, Gardening (vegetables and citrus)"
Preschool music class,"Preschool music class, toddler music class, Participating in baby music class"
Candle making,Candle making
"Listening to plena, salsa, and bolero music","Listening to plena, salsa, and bolero music, listening to salsa and plena music, Listening to Cuban salsa and bolero music, Listening to salsa and plena music, Listening to bomba, plena, and salsa music, Listening to and playing plena and salsa music, Listening to Salsa/Bomba/Música Tradicional, Listening to salsa and bolero music"
PC building and hardware modding,PC building and hardware modding
Fishing in Biscayne Bay,Fishing in Biscayne Bay
Shoreline walks,"Shoreline walks, Coastal walks, Walking along the shoreline, Shoreline Walking"
Jigsaw puzzles and brainteasers,Jigsaw puzzles and brainteasers
Improvisational theatre,"Improvisational theatre, Improvisational theater, Improvisational theater participation, Live Theater and Improvisation, Improvisational Theater"
Exploring surveillance technology,Exploring surveillance technology
Attending indie‑music concerts,"Attending indie‑music concerts, Indie music concerts, attending concerts, Indie music concerts and art gallery visits, Live indie music concerts, indie music concerts, Attending concerts, Attending Indie Music Shows, Attending indie music concerts, attending local concerts, Attending indie theater, Attending Concerts, Attending indie concerts"
"Live music (jazz, hip‑hop)","Live music (jazz, hip‑hop), Live Music (Gospel, Neo‑Soul, Jazz), Live Jazz/World Music, Live music performances (jazz, experimental)"
Maker‑space tinkering,Maker‑space tinkering
Reading science articles,"Reading science articles, Reading Scientific Literature, reading scientific articles, Reading scientific literature, Reading scientific journals"
Jogging for stress relief,"Jogging for stress relief, Weightlifting and jogging for stress relief, Jogging for Stress Relief"
playing soccer with friends,"playing soccer with friends, Playing soccer with friends, Soccer with friends, playing soccer with neighborhood friends, Playing soccer with a small group of friends"
Community clean‑up volunteering,"Community clean‑up volunteering, Volunteer community clean‑up projects, Volunteer community clean‑up events, Community clean-up volunteering, Community Clean-up Volunteering, Volunteer work for community clean‑up events, Community Clean‑up Volunteering, community clean‑up volunteering, Community volunteer clean‑up events, Volunteer Community Cleaning, Volunteering at community clean‑up events, Community park clean-up volunteering, Participating in local volunteer clean-up events, community clean-up volunteering"
Hiking the Ohio River Trail,"Hiking the Ohio River Trail, Walking along the Ohio River, walking along Ohio River trail, Walking along the Ohio River waterfront"
Board‑game strategy sessions,Board‑game strategy sessions
Simple sorting activities,Simple sorting activities
Heirloom Gardening,"Heirloom Gardening, Gardening of Heirloom Plants, Heirloom gardening, Heirloom vegetable gardening, Gardening heirloom vegetables"
Volunteering for community murals,"Volunteering for community murals, Volunteering at community art events, Volunteering as a docent for community art projects, community art volunteer, Community mural volunteering, Community Mural Volunteering, community mural volunteering, Volunteering for Community Murals, community volunteer painting, Volunteer work at community art events"
Cooking fusion Venezuelan‑Vietnamese dishes,"Cooking fusion Venezuelan‑Vietnamese dishes, Cooking Vietnamese-fusion dishes, Cooking Vietnamese and fusion dishes"
building block play,"building block play, Building block play, Building blocks and structural play, Playing with building blocks"
Playing mahjong and card games,Playing mahjong and card games
Small‑group soccer,"Small‑group soccer, participating in small-group soccer games, Playing soccer with a small group, Playing soccer (small group), Playing soccer in small groups"
Reading automotive and home-repair manuals,Reading automotive and home-repair manuals
Yoga for resilience,Yoga for resilience
Exploring bright picture books,"Exploring bright picture books, Exploring textured picture books, viewing bright picture books, looking at picture books, Interactive picture books, exploring picture books, Exploring picture books, picture book exploration, Looking at picture books with bright illustrations, exploring textured picture books, Looking through picture books, picture books"
Historical photograph cataloging for the local library,Historical photograph cataloging for the local library
walking along the waterfront,"walking along the waterfront, waterfront trail walks, Waterfront Walking, Walking (dog and waterfront), Walking the waterfront, Outdoor walks by the waterfront"
Organizing block parties,"Organizing block parties, Organizing Block Parties, community block parties"
Listening to podcasts on medical innovation and history,"Listening to podcasts on medical innovation and history, Listening to medical innovation podcasts"
educational video games,"educational video games, Playing educational video games, playing educational video games, Educational video games, Educational video games with clear rules"
Hill Country hiking and camping,"Hill Country hiking and camping, Hill Country Hiking, Hiking and biking in Hill Country, Hiking and camping, Hill Country hiking, Hiking and trail biking in the Hill Country"
volunteering at fundraisers,"volunteering at fundraisers, Volunteering at charity events, Volunteering as treasurer for local fundraising events"
Volunteer Work at Church,"Volunteer Work at Church, Church attendance and volunteer work, Church volunteer work, Volunteering at church charity kitchen, Volunteer work at church, Volunteering with church health ministry, Attending church services and volunteer activities, Volunteer work at church and senior center, Volunteering at church events, Volunteer Work at Local Church, Church Volunteer Work, Church volunteering, Church attendance and volunteering, Volunteering at church and senior center, Volunteering at local church events, Church volunteering and hospitality, Volunteer work at the local church, Church volunteerism, Community church volunteer work, Volunteering at church, Volunteer work at local church"
Coloring picture books,"Coloring picture books, coloring picture books"
Organizing class events,Organizing class events
Volunteer home‑repair work,"Volunteer home‑repair work, Community Volunteering (Home‑Repair Workshops), Community volunteer repairs"
Desert gardening (succulents and herbs),"Desert gardening (succulents and herbs), Gardening (succulents, desert plants), Desert gardening (cacti, succulents), Herb and succulent gardening"
Badminton,"Badminton, Playing badminton"
Cooing and responsive crying,Cooing and responsive crying
Watching tech tutorials on YouTube,Watching tech tutorials on YouTube
DIY home renovation projects with artistic flair,"DIY home renovation projects with artistic flair, DIY home renovation projects, DIY home renovation, DIY Home Renovation"
Organized playground games,"Organized playground games, group playground games, Participating in structured playground games, Playground group games, Group games at the playground"
School drama club,"School drama club, school drama club performances, School drama club activities, drama club, School drama productions, Drama club, school drama club, School drama/improv club"
Cooking traditional Ecuadorian cuisine,"Cooking traditional Ecuadorian cuisine, Cooking Ecuadorian dishes, cooking traditional Ecuadorian dishes, Preparing traditional Ecuadorian dishes, Cooking traditional Ecuadorian dishes, Cooking Ecuadorian cuisine"
playing catch,playing catch
Scale model railroad building,"Scale model railroad building, Scale model building (trains, aircraft)"
Attending local football games,"Attending local football games, Attending Local High School Football Games, Attending local high school football games, Attending local sports games, Attending local sports events"
Cooking Colombian dishes with family,"Cooking Colombian dishes with family, Colombian cooking, Cooking Colombian dishes, Cooking traditional Colombian dishes with family, Cooking Colombian Dishes, Cooking traditional Colombian dishes, Cooking traditional Argentine dishes with family, cooking Colombian cuisine, Cooking Colombian cuisine"
"School talent show performances (singing, storytelling)","School talent show performances (singing, storytelling)"
"Strategic board games (Go, chess)","Strategic board games (Go, chess), Playing strategic board games (e.g., chess), Playing strategic board games (Go, Chess), Competitive strategic board games"
peek-a-boo games,"peek-a-boo games, Playing peek‑a‑boo, Peek‑a‑boo games, peek‑a‑boo games, Peek‑a‑boo and turn‑taking games"
STEM club volunteering,"STEM club volunteering, community STEM club, STEM outreach volunteering, Volunteer STEM outreach, STEM Outreach Volunteering"
attending open‑mic nights,"attending open‑mic nights, Attending open‑mic nights, open‑mic nights, Attending open‑mic nights and street festivals"
Mentoring underrepresented youth in tech,"Mentoring underrepresented youth in tech, Mentoring youth in tech through community programs, Mentoring high‑school students in tech, Mentoring Youth in Tech"
Journaling with sketching,"Journaling with sketching, Sketching and travel journaling, Journaling and sketching, Sketching and journaling, Journaling (drawing & writing), sketching and visual journaling"
Solitary puzzle solving,Solitary puzzle solving
Pickup hockey,Pickup hockey
sketching and watercolor painting,"sketching and watercolor painting, Sketching & Watercolor Painting, Sketching and coloring, Sketching and watercolor painting of industrial and natural scenes, Watercolor sketching, watercolor sketching, Sketching and Watercolor Painting, Sketching and watercolor painting, Sketching (watercolor), Sketching with watercolors"
Participating in school group activities,Participating in school group activities
Golfing,"Golfing, Golf, golf, Playing golf"
Journaling thoughts and feelings,"Journaling thoughts and feelings, Journaling for emotional processing"
Vietnamese calligraphy,"Vietnamese calligraphy, Calligraphy (Korean Hangul and Vietnamese script)"
Sketching historic architecture,Sketching historic architecture
Cooking traditional South Indian cuisine,"Cooking traditional South Indian cuisine, Traditional Indian cooking and culinary experimentation, Cooking Indian Cuisine, cooking Indian cuisine, Traditional Indian cooking, Cooking Indian cuisine"
Riverfront Jogging,"Riverfront Jogging, Lakefront jogging"
Experimental music composition,"Experimental music composition, experimental music composition"
Attending car swap meets,Attending car swap meets
Competitive basketball games,Competitive basketball games
informal health talks,informal health talks
Gardening with native Florida plants,"Gardening with native Florida plants, Gardening native Florida plants, Native Florida gardening, gardening (native Floridian plants)"
Attending church socials and cultural celebrations,"Attending church socials and cultural celebrations, Attending church services and religious celebrations, Attending church and cultural events, Attending church services and cultural festivals"
Playing piano (improvisational jazz),"Playing piano (improvisational jazz), Playing piano (classical and jazz), Jazz Piano Improvisation, Playing piano improvisations, Playing piano and occasional jazz improvisation, Improvisational Jazz Piano, Jazz piano playing"
Basic Spanish classes,"Basic Spanish classes, Learning basic Spanish, Practicing basic Spanish"
Participating in hackathon challenges,"Participating in hackathon challenges, Participating in hackathons, Hackathon participation, hackathon participation"
singing nursery rhymes,"singing nursery rhymes, Listening to nursery rhymes and children’s songs, Singing nursery rhymes, Listening to nursery rhymes and music, Listening to nursery rhymes, listening to nursery rhymes, Singing nursery rhymes and dancing, rhythmic nursery rhymes, sing‑along nursery rhymes, singing and dancing to nursery rhymes, Singing and dancing to nursery rhymes"
Bilingual language exchange,"Bilingual language exchange, Language exchange, language exchange (Spanish/English), Language Exchange (Spanish‑English)"
Listening to Latin American Folk & Indie Rock,"Listening to Latin American Folk & Indie Rock, Listening to indie folk/Americana"
Maintaining a detailed meal‑prep journal,Maintaining a detailed meal‑prep journal
DIY electronics with Raspberry Pi,"DIY electronics with Raspberry Pi, DIY electronics (Arduino), DIY electronics (Arduino, Raspberry Pi), DIY Electronics (Arduino), Raspberry Pi and DIY electronics projects, DIY Electronics (Arduino/Raspberry Pi), DIY Electronics (Raspberry Pi, Arduino)"
DIY home improvement and furniture building,"DIY home improvement and furniture building, DIY furniture building, Woodworking and DIY furniture building"
Ambient music composition,Ambient music composition
simple crafts and drawing,"simple crafts and drawing, simple crafts and coloring, Creating crafts"
Live music,"Live music, live music, Listening to live music, Live Music"
Reading leadership and design books,"Reading leadership and design books, Reading Leadership Books, Reading leadership and business books, Reading business/leadership books"
philosophical journaling,philosophical journaling
Home gym workouts,"Home gym workouts, Gym workouts, regular gym workouts"
Attending Iowa State Fair and local art exhibits,Attending Iowa State Fair and local art exhibits
Volunteering as a coding mentor for teenagers,"Volunteering as a coding mentor for teenagers, Volunteering to teach coding, Volunteering as a coding mentor, Volunteering at after‑school coding clubs, Mentoring youth coding programs, Volunteering as coding mentor, Volunteering for youth coding workshops, Mentoring youth in coding workshops, Volunteer Coding Mentor, Volunteering as a coding mentor for youth, Mentoring youth in coding, Youth coding mentorship, Mentoring high‑school coding clubs, Volunteer coding tutoring for youth, Volunteer coding mentorship, Mentoring at youth coding club"
Grilling and potluck gatherings,"Grilling and potluck gatherings, Hosting Potluck Gatherings, Hosting potluck gatherings"
"Generative art (Processing, p5.js)","Generative art (Processing, p5.js), Generative art (p5.js), Generative art coding (p5.js, Three.js)"
Inventing make‑believe stories,Inventing make‑believe stories
Watercolor painting and travel journaling,Watercolor painting and travel journaling
Desert nature walks,"Desert nature walks, Walking in desert parks"
Toastmasters,"Toastmasters, Toastmasters/public speaking, Toastmasters/Public Speaking, Participating in Toastmasters, Toastmasters and Public Speaking, Toastmasters leadership, Toastmasters public speaking, Toastmasters Membership"
Cooking traditional Korean cuisine,"Cooking traditional Korean cuisine, Cooking Korean and Japanese dishes, Korean cooking, Cooking Korean cuisine"
Escape Rooms,"Escape Rooms, Escape‑room challenges, Participating in escape rooms, Escape rooms, escape rooms, Escape‑room puzzles"
Playing chess in weekly club tournaments,"Playing chess in weekly club tournaments, Weekly chess club"
Cooking classes and experimental cuisine,"Cooking classes and experimental cuisine, Cooking Classes, cooking classes, Cooking classes"
Reading true crime and emergency services literature,Reading true crime and emergency services literature
Interactive storybook games,Interactive storybook games
Park visits,"Park visits, visiting local parks, visiting the local park"
soccer,"soccer, Soccer (competitive), Soccer (playing and watching), Soccer (watching and playing), Soccer"
"Competitive video gaming (FPS, MOBA)","Competitive video gaming (FPS, MOBA)"
Fishing and ice‑fishing on Minnesota lakes,Fishing and ice‑fishing on Minnesota lakes
Community potlucks and charity events,"Community potlucks and charity events, Community Potluck Participation, volunteering at community events and potlucks, Attending community festivals and potlucks, Participating in community potlucks, Community potluck and church events, Community potluck participation"
Playing acoustic guitar at open‑mic events,"Playing acoustic guitar at open‑mic events, Playing acoustic guitar at open‑mic nights"
Electric guitar,"Electric guitar, acoustic guitar, Acoustic guitar, Guitar, guitar, Acoustic Guitar"
RC aircraft building,"RC aircraft building, RC car building"
Raspberry Pi Home Automation,"Raspberry Pi Home Automation, DIY home automation, Home automation projects (Raspberry Pi, smart home), DIY home‑automation, Raspberry Pi home‑automation projects, Arduino/Raspberry Pi Home Automation Projects, Home automation projects, DIY Home Automation, Home automation programming"
"Reading philosophy, psychology, and art history","Reading philosophy, psychology, and art history, Reading art and philosophy, Reading literature, philosophy, and art history, Reading fiction, philosophy, and art‑history, Reading psychology and art theory"
Listening to art‑related podcasts,"Listening to art‑related podcasts, Listening to podcasts on art and philosophy, Listening to art and culture podcasts, Listening to Podcasts on Transportation and Art, Listening to podcasts on psychology, art, and creative thinking, Listening to podcasts on creativity"
listening to simple music,listening to simple music
Reading Contemporary Fiction and Caribbean Literature,"Reading Contemporary Fiction and Caribbean Literature, Reading Caribbean literature"
Attending forensic science workshops,Attending forensic science workshops
Watching classic comedy movies,Watching classic comedy movies
Hiking in the Pacific Northwest,"Hiking in the Pacific Northwest, Hiking and nature walks in the Pacific Northwest"
Women-in-mining network participation,Women-in-mining network participation
outdoor exploration and sandbox play,outdoor exploration and sandbox play
Recreational Hockey,"Recreational Hockey, Recreational ice‑hockey"
museum and art exhibit attendance,museum and art exhibit attendance
stacking and toppling blocks,"stacking and toppling blocks, stacking blocks, Stacking and arranging blocks, Stacking blocks"
Watching short educational cartoons about animals and vehicles,"Watching short educational cartoons about animals and vehicles, Watching educational cartoons (space, animals), watching educational cartoons about space and animals"
Drawing and coloring vehicles and animals,"Drawing and coloring vehicles and animals, drawing animals and trucks, Drawing animals and vehicles"
Modernist music listening,Modernist music listening
singing children’s songs,"singing children’s songs, Singing children's songs, singing and clapping to children’s songs"
bilingual storytelling,"bilingual storytelling, Bilingual storytelling at community center, bonding through bilingual storytelling"
Reading natural‑history and botany books,"Reading natural‑history and botany books, Reading natural‑history books"
Coastal Gardening,"Coastal Gardening, Coastal native‑plant gardening, Coastal gardening"
Cooking fusion cuisine,"Cooking fusion cuisine, Experimenting with fusion cooking, Cooking Fusion Cuisine, Cooking Southern and fusion cuisine, Cooking and experimenting with fusion cuisine, Fusion Cooking Experiments, Cooking experimental fusion meals, Cooking (Southern‑Italian fusion), Experimental Cooking (Fusion Recipes), Cooking fusion recipes"
Reading about animal cognition and behavior,Reading about animal cognition and behavior
Cooking Texas-style barbecue,"Cooking Texas-style barbecue, Cooking Texas‑style Barbecue, Cooking (Texas BBQ), Cooking Texas BBQ, Cooking Texas barbecue"
Photography of everyday life,"Photography of everyday life, photography of everyday life, digital photography of daily life"
drawing animals,"drawing animals, drawing pictures of animals, Animal drawing, drawing wildlife sketches, Drawing animals and landscapes, Animal sketching, Drawing wildlife illustrations, Sketching animals, drawing animals and landscapes"
Industry Webinars and Reading,Industry Webinars and Reading
Listening to Mexican regional music and transportation podcasts,Listening to Mexican regional music and transportation podcasts
Reading about world cultures,Reading about world cultures
Analog Photography,"Analog Photography, analog street photography, Analog photography"
"Home gardening (herbs, chiles, cacti)","Home gardening (herbs, chiles, cacti)"
Volunteering as a docent at the Albany Museum of Art,"Volunteering as a docent at the Albany Museum of Art, Volunteering as Museum Docent, Volunteering as a museum docent, Volunteering as museum docent"
"Blogging about art, food, and travel","Blogging about art, food, and travel, Blogging about Art and Culture"
Community gatherings,"Community gatherings, Hosting social gatherings, hosting social gatherings, Participating in Community Cultural Gatherings, Attending quiet community gatherings, Hosting Social Gatherings, Friend group gatherings"
collecting natural objects,"collecting natural objects, Collecting nature items, Collecting and sorting natural objects"
Cheering at local high‑school sports events,Cheering at local high‑school sports events
Traveling to culturally significant destinations,"Traveling to culturally significant destinations, Traveling to culturally rich cities, Travel to Culturally Rich Destinations, Traveling to culturally rich destinations"
Boy Scouts (merit badges),"Boy Scouts (merit badges), Boy Scouts"
Reading non‑fiction about engineering and sustainability,"Reading non‑fiction about engineering and sustainability, Reading non‑fiction on sustainable living, Reading non-fiction on engineering, sustainability, and technology, Reading non‑fiction on innovation and sustainability, Reading non‑fiction on sustainability"
Community group outings,Community group outings
Pickup basketball with neighbors,"Pickup basketball with neighbors, Playing pickup basketball with a small group of friends, Pick‑up basketball with neighborhood kids"
Volunteering at community eye‑screening events,Volunteering at community eye‑screening events
attending art openings,"attending art openings, Attending art gallery openings, Attending local art openings, Attending local art gallery openings, Attending Gallery Openings, Attending art walks and gallery openings"
Reading historical novels in Spanish,"Reading historical novels in Spanish, Reading historical and Latin American novels, Reading mystery and historical fiction (English & Spanish), Reading Spanish-language novels and folklore"
documentary films,documentary films
listening to nursery rhymes and gentle instrumental music,"listening to nursery rhymes and gentle instrumental music, listening to songs (nursery rhymes and gospel), listening to nursery rhymes and classical music"
Exploring vintage electrical tools,Exploring vintage electrical tools
Hiking in the Columbia Plateau,"Hiking in the Columbia Plateau, Hiking along the Columbia River, Hiking in Columbia River Gorge, Hiking in the Columbia River Gorge"
Board games and group activities,"Board games and group activities, playing group board games"
listening to Vietnamese children’s songs,"listening to Vietnamese children’s songs, listening to Vietnamese music"
Woodcrafting,Woodcrafting
Family potlucks and community food sharing,Family potlucks and community food sharing
Hosting hangouts and game nights,Hosting hangouts and game nights
Community Youth Art Mentoring,"Community Youth Art Mentoring, Volunteer Art Mentor, Community youth mentorship, Mentoring youth in arts programs, Youth Art Mentorship, Mentoring young artists, Mentoring Young Artists"
Memoir Writing,"Memoir Writing, Journaling and memoir writing"
Mentoring junior security enthusiasts,Mentoring junior security enthusiasts
Playing simple board games,"Playing simple board games, simple board games with a few friends"
Board gaming,Board gaming
cooking comfort food for friends,"cooking comfort food for friends, Cooking with Friends, Cooking Comfort Food, Cooking comfort meals, Cooking for friends, Cooking comfort food, Cooking for Friends"
Board games and puzzle solving,"Board games and puzzle solving, Playing chess and solving puzzles, Puzzle Solving and Brain Games, Playing board games and puzzles"
Attending wine and food festivals,"Attending wine and food festivals, Attending food festivals, Attending Food Festivals"
Hiking in Hillsborough County Parks,Hiking in Hillsborough County Parks
Improv Comedy Workshops,"Improv Comedy Workshops, Improv comedy workshops, improv comedy workshops, Participating in local improv comedy workshops, Improv Workshops, Improv comedy performances, Participating in improv comedy workshops"
cityscape photography,cityscape photography
park exploration,"park exploration, exploring the park and nature, Exploring parks and nature, outdoor park exploration, Exploring parks and nature trails, exploring parks and nature"
singing repetitive songs,singing repetitive songs
Walking and birdwatching along the Genesee River trail,Walking and birdwatching along the Genesee River trail
Vintage pickup truck restoration,"Vintage pickup truck restoration, Classic truck restoration projects, Truck restoration, truck restoration, Classic truck restoration, Truck restoration projects, Classic Truck Restoration"
Creating digital art and graphic designs,"Creating digital art and graphic designs, digital art and graphic design, Digital art and illustration, Digital illustration and design, Digital art creation, Digital art and graphic design, Digital illustration & graphic design"
Home‑brew craft‑beer experimentation,"Home‑brew craft‑beer experimentation, Home Brewing Craft Beer, homebrewing craft beer, Home brewing craft beer, Homebrewing Craft Beer, Home‑brewing craft beer, Homebrewing craft beer, Home‑brewing Craft Beer"
Exploring Multicultural Food Spots,"Exploring Multicultural Food Spots, Exploring multicultural food markets"
Playing chess with local club members,"Playing chess with local club members, Playing chess in a small club, Local chess club"
streaming video games,"streaming video games, Streaming strategy video games, Streaming video games, video game streaming"
Building Arduino projects,"Building Arduino projects, Building and tinkering with Arduino projects"
"Craft circle (knitting, crochet, scrapbooking)","Craft circle (knitting, crochet, scrapbooking)"
Street photography of Chicago neighborhoods,"Street photography of Chicago neighborhoods, Photography of historic neighborhoods, Street photography of El Paso neighborhoods"
organizing talent shows,organizing talent shows
Listening to music while drawing,Listening to music while drawing
dancing to hip‑hop/R&B,"dancing to hip‑hop/R&B, hip hop dance, Hip‑hop dancing, Hip‑hop/R&B dancing, hip-hop and contemporary dance, Hip-Hop Dance, Hip‑Hop Dance, hip‑hop dancing, Hip‑hop dance, Dancing to R&B/hip‑hop, Hip-hop dance, Funk and hip‑hop dancing, Hip‑hop Dance"
Python game development,"Python game development, Coding simple games (Python), Programming simple games (Python)"
Personal finance reading,"Personal finance reading, Reading (Market Trends, Personal Finance), Reading contemporary fiction and personal finance books, Reading personal-finance books"
Aerial photography,Aerial photography
Exploring microbreweries on spontaneous weekend outings,Exploring microbreweries on spontaneous weekend outings
crafts for Día de los Muertos and Cinco de Mayo,crafts for Día de los Muertos and Cinco de Mayo
Roblox,Roblox
Listening to Classic Rock and Latin Jazz,"Listening to Classic Rock and Latin Jazz, Listening to Latin jazz"
